candidate_name,normalized_name,status,score,label,risk_category,book_class,confidence,topic,audience,problem,domain,template
Pflege Thema 9 mit Checklisten Journal Arbeitsbuch für Pflegebedürftige,pflege thema 9 mit checklisten journal arbeitsbuch fuer pflegebeduerftige,needs_manual_review,73,MAYBE,low,sachbuch,55,Pflege Thema 9 mit Checklisten Journal,Pflegebedürftige,,pflege,domain_aware:{topic} Arbeitsbuch für {audience}
Pflege Thema 9 mit Checklisten Journal Praxisratgeber für Pflegebedürftige,pflege thema 9 mit checklisten journal praxisratgeber fuer pflegebeduerftige,needs_manual_review,73,MAYBE,low,sachbuch,55,Pflege Thema 9 mit Checklisten Journal,Pflegebedürftige,,pflege,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Checkliste Arbeitsbuch für Alleinerziehende,haushalt ordnung checkliste arbeitsbuch fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Planer für Familien,haushalt ordnung arbeitsbuch wochenplan workbook planer fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Familien,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook für Berufstätige,haushalt ordnung arbeitsbuch wochenplan workbook fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Berufstätige,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Praxisratgeber für Berufstätige,haushalt ordnung arbeitsbuch wochenplan workbook praxisratgeber fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Arbeitsbuch für Berufstätige,haushalt ordnung arbeitsbuch wochenplan workbook arbeitsbuch fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Leitfaden Planer für Alleinerziehende,haushalt ordnung leitfaden planer fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Leitfaden Checkliste für Alleinerziehende,haushalt ordnung leitfaden checkliste fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Leitfaden Arbeitsbuch für Alleinerziehende,haushalt ordnung leitfaden arbeitsbuch fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Leitfaden Praxisratgeber für Alleinerziehende,haushalt ordnung leitfaden praxisratgeber fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Arbeitsbuch für Familien,haushalt ordnung arbeitsbuch wochenplan workbook arbeitsbuch fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Familien,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Leitfaden Planer für Berufstätige,haushalt ordnung leitfaden planer fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Leitfaden Checkliste für Berufstätige,haushalt ordnung leitfaden checkliste fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Leitfaden Arbeitsbuch für Berufstätige,haushalt ordnung leitfaden arbeitsbuch fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Leitfaden Praxisratgeber für Berufstätige,haushalt ordnung leitfaden praxisratgeber fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Checkliste Praxisratgeber für Alleinerziehende,haushalt ordnung checkliste praxisratgeber fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Leitfaden Planer für Familien,haushalt ordnung leitfaden planer fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Leitfaden Checkliste für Familien,haushalt ordnung leitfaden checkliste fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Leitfaden Arbeitsbuch für Familien,haushalt ordnung leitfaden arbeitsbuch fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Leitfaden Praxisratgeber für Familien,haushalt ordnung leitfaden praxisratgeber fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Checkliste Checkliste für Alleinerziehende,haushalt ordnung checkliste checkliste fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Checkliste für Berufstätige,haushalt ordnung arbeitsbuch wochenplan workbook checkliste fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Planer für Berufstätige,haushalt ordnung arbeitsbuch wochenplan workbook planer fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook für Alleinerziehende,haushalt ordnung arbeitsbuch wochenplan workbook fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Checkliste Planer für Berufstätige,haushalt ordnung checkliste planer fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Praxisratgeber für Alleinerziehende,haushalt ordnung arbeitsbuch wochenplan workbook praxisratgeber fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Arbeitsbuch für Alleinerziehende,haushalt ordnung arbeitsbuch wochenplan workbook arbeitsbuch fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Checkliste für Alleinerziehende,haushalt ordnung arbeitsbuch wochenplan workbook checkliste fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Checkliste Checkliste für Berufstätige,haushalt ordnung checkliste checkliste fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Checkliste Arbeitsbuch für Berufstätige,haushalt ordnung checkliste arbeitsbuch fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Planer für Alleinerziehende,haushalt ordnung arbeitsbuch wochenplan workbook planer fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Checkliste Praxisratgeber für Berufstätige,haushalt ordnung checkliste praxisratgeber fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Checkliste Planer für Alleinerziehende,haushalt ordnung checkliste planer fuer alleinerziehende,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook für Familien,haushalt ordnung arbeitsbuch wochenplan workbook fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Familien,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Checkliste Planer für Familien,haushalt ordnung checkliste planer fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Familien,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden für Familien,haushalt ordnung planer strukturierter leitfaden fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Praxisratgeber für Familien,haushalt ordnung planer strukturierter leitfaden praxisratgeber fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Checkliste Checkliste für Familien,haushalt ordnung checkliste checkliste fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Familien,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Checkliste Arbeitsbuch für Familien,haushalt ordnung checkliste arbeitsbuch fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Familien,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Arbeitsbuch für Familien,haushalt ordnung planer strukturierter leitfaden arbeitsbuch fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Pflege Thema 9 mit Checklisten Journal für Angehörige,pflege thema 9 mit checklisten journal fuer angehoerige,needs_manual_review,73,MAYBE,low,sachbuch,55,Pflege Thema 9 mit Checklisten Journal,Angehörige,,pflege,domain_aware:{topic} für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Planer für Familien,haushalt ordnung planer strukturierter leitfaden planer fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Planer für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Checkliste für Familien,haushalt ordnung planer strukturierter leitfaden checkliste fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden für Berufstätige,haushalt ordnung planer strukturierter leitfaden fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Praxisratgeber für Berufstätige,haushalt ordnung planer strukturierter leitfaden praxisratgeber fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Arbeitsbuch für Berufstätige,haushalt ordnung planer strukturierter leitfaden arbeitsbuch fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Planer strukturierter Leitfaden Checkliste für Berufstätige,haushalt ordnung planer strukturierter leitfaden checkliste fuer berufstaetige,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Planer strukturierter Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} Checkliste für {audience}
Haushalt Ordnung Checkliste Praxisratgeber für Familien,haushalt ordnung checkliste praxisratgeber fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Familien,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Haushalt Ordnung Arbeitsbuch Wochenplan Workbook Praxisratgeber für Familien,haushalt ordnung arbeitsbuch wochenplan workbook praxisratgeber fuer familien,needs_manual_review,73,MAYBE,low,sachbuch,55,Haushalt Ordnung Arbeitsbuch Wochenplan Workbook,Familien,,haushalt_ordnung,domain_aware:{topic} Praxisratgeber für {audience}
Abitur Lernplan Arbeitsbuch für Schüler,abitur lernplan arbeitsbuch fuer schueler,needs_manual_review,71,MAYBE,low,sachbuch,55,Abitur Lernplan,Schüler,,lernen_pruefung,domain_aware:{topic} Arbeitsbuch für {audience}
Haushalt Ordnung Checkliste für Alleinerziehende,haushalt ordnung checkliste fuer alleinerziehende,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Checkliste für Berufstätige,haushalt ordnung checkliste fuer berufstaetige,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Berufstätige,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Checkliste Hilfe bei Haushalt Ordnung Vorlagen: Fortschritt wird nicht dokumentiert,haushalt ordnung checkliste hilfe bei haushalt ordnung vorlagen fortschritt wird nicht dokumentiert,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Familien,Haushalt Ordnung Vorlagen: Fortschritt wird nicht dokumentiert,haushalt_ordnung,domain_aware:{topic} Hilfe bei {problem}
Haushalt Ordnung Checkliste für Familien,haushalt ordnung checkliste fuer familien,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Checkliste,Familien,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Leitfaden für Alleinerziehende,haushalt ordnung leitfaden fuer alleinerziehende,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Alleinerziehende,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Leitfaden für Berufstätige,haushalt ordnung leitfaden fuer berufstaetige,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Berufstätige,,haushalt_ordnung,domain_aware:{topic} für {audience}
Haushalt Ordnung Leitfaden Hilfe bei Haushalt Ordnung Vorlagen: Fortschritt wird nicht dokumentiert,haushalt ordnung leitfaden hilfe bei haushalt ordnung vorlagen fortschritt wird nicht dokumentiert,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Familien,Haushalt Ordnung Vorlagen: Fortschritt wird nicht dokumentiert,haushalt_ordnung,domain_aware:{topic} Hilfe bei {problem}
Haushalt Ordnung Leitfaden für Familien,haushalt ordnung leitfaden fuer familien,needs_manual_review,71,MAYBE,low,sachbuch,55,Haushalt Ordnung Leitfaden,Familien,,haushalt_ordnung,domain_aware:{topic} für {audience}
Pflegeantrag vorbereiten Planer für Angehörige,pflegeantrag vorbereiten planer fuer angehoerige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Angehörige,,pflege,domain_aware:{topic} Planer für {audience}
Pflegeantrag vorbereiten Checkliste für Angehörige,pflegeantrag vorbereiten checkliste fuer angehoerige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Angehörige,,pflege,domain_aware:{topic} Checkliste für {audience}
Pflegeantrag vorbereiten Arbeitsbuch für Angehörige,pflegeantrag vorbereiten arbeitsbuch fuer angehoerige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Angehörige,,pflege,domain_aware:{topic} Arbeitsbuch für {audience}
Pflegegrad beantragen Planer für Pflegebedürftige,pflegegrad beantragen planer fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegegrad beantragen,Pflegebedürftige,,pflege,domain_aware:{topic} Planer für {audience}
Pflegegrad beantragen Checkliste für Pflegebedürftige,pflegegrad beantragen checkliste fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegegrad beantragen,Pflegebedürftige,,pflege,domain_aware:{topic} Checkliste für {audience}
Pflegegrad beantragen Arbeitsbuch für Pflegebedürftige,pflegegrad beantragen arbeitsbuch fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegegrad beantragen,Pflegebedürftige,,pflege,domain_aware:{topic} Arbeitsbuch für {audience}
Pflegeantrag vorbereiten Praxisratgeber für Angehörige,pflegeantrag vorbereiten praxisratgeber fuer angehoerige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Angehörige,,pflege,domain_aware:{topic} Praxisratgeber für {audience}
Pflegeantrag vorbereiten Planer für Pflegebedürftige,pflegeantrag vorbereiten planer fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Pflegebedürftige,,pflege,domain_aware:{topic} Planer für {audience}
Pflegeantrag vorbereiten Checkliste für Pflegebedürftige,pflegeantrag vorbereiten checkliste fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Pflegebedürftige,,pflege,domain_aware:{topic} Checkliste für {audience}
Pflegeantrag vorbereiten Arbeitsbuch für Pflegebedürftige,pflegeantrag vorbereiten arbeitsbuch fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Pflegebedürftige,,pflege,domain_aware:{topic} Arbeitsbuch für {audience}
Pflegeantrag vorbereiten Praxisratgeber für Pflegebedürftige,pflegeantrag vorbereiten praxisratgeber fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegeantrag vorbereiten,Pflegebedürftige,,pflege,domain_aware:{topic} Praxisratgeber für {audience}
Pflegegrad beantragen Praxisratgeber für Pflegebedürftige,pflegegrad beantragen praxisratgeber fuer pflegebeduerftige,needs_manual_review,71,MAYBE,low,sachbuch,55,Pflegegrad beantragen,Pflegebedürftige,,pflege,domain_aware:{topic} Praxisratgeber für {audience}
Abitur Lernplan Planer für Studenten,abitur lernplan planer fuer studenten,needs_manual_review,71,MAYBE,low,sachbuch,55,Abitur Lernplan,Studenten,,lernen_pruefung,domain_aware:{topic} Planer für {audience}
Abitur Lernplan Checkliste für Studenten,abitur lernplan checkliste fuer studenten,needs_manual_review,71,MAYBE,low,sachbuch,55,Abitur Lernplan,Studenten,,lernen_pruefung,domain_aware:{topic} Checkliste für {audience}
Abitur Lernplan Arbeitsbuch für Studenten,abitur lernplan arbeitsbuch fuer studenten,needs_manual_review,71,MAYBE,low,sachbuch,55,Abitur Lernplan,Studenten,,lernen_pruefung,domain_aware:{topic} Arbeitsbuch für {audience}
Abitur Lernplan Praxisratgeber für Studenten,abitur lernplan praxisratgeber fuer studenten,needs_manual_review,71,MAYBE,low,sachbuch,55,Abitur Lernplan,Studenten,,lernen_pruefung,domain_aware:{topic} Praxisratgeber für {audience}
Abitur Lernplan Planer für Schüler,abitur lernplan planer fuer schueler,needs_manual_review,71,MAYBE,low,sachbuch,55,Abitur Lernplan,Schüler,,lernen_pruefung,domain_aware:{topic} Planer für {audience}
IHK Prüfungsvorbereitung Praxisratgeber für Schüler,ihk pruefungsvorbereitung praxisratgeber fuer schueler,needs_manual_review,71,MAYBE,low,sachbuch,55,IHK Prüfungsvorbereitung,Schüler,,lernen_pruefung,domain_aware:{topic} Praxisratgeber für {audience}
IHK Prüfungsvorbereitung Arbeitsbuch für Schüler,ihk pruefungsvorbereitung arbeitsbuch fuer schueler,needs_manual_review,71,MAYBE,low,sachbuch,55,IHK Prüfungsvorbereitung,Schüler,,lernen_pruefung,domain_aware:{topic} Arbeitsbuch für {audience}
IHK Prüfungsvorbereitung Checkliste für Schüler,ihk pruefungsvorbereitung checkliste fuer schueler,needs_manual_review,71,MAYBE,low,sachbuch,55,IHK Prüfungsvorbereitung,Schüler,,lernen_pruefung,domain_aware:{topic} Checkliste für {audience}
