macro_domain,subdomain,micro_domain,audience_hint,problem_hint,format_hint,risk_level,priority,language,country,notes
schule,schule_sub_3,mathe lernplan für realschüler,schueler,mathe systematisch üben,lernplaner,low,76,de,DE,curated v2 #63
schule,schule_sub_4,vokabeltrainer für gymnasium,schueler,vokabeln effizient lernen,arbeitsbuch,low,74,de,DE,curated v2 #64
schule,schule_sub_5,zeugnis verbessern planer für schüler,schueler,noten gezielt verbessern,planer,low,72,de,DE,curated v2 #65
schule,schule_sub_6,referat vorbereitung checkliste für schüler,schueler,perfektes referat halten,checkliste,low,70,de,DE,curated v2 #66
schule,schule_sub_7,lehrerplaner für referendare,fachkraefte,unterricht und stunden planen,planer,low,68,de,DE,curated v2 #67
schule,schule_sub_8,einschulung tagebuch für eltern,eltern,ersten schultag dokumentieren,tagebuch,low,66,de,DE,curated v2 #68
schule,schule_sub_9,schulwechsel checkliste für eltern,eltern,schulwechsel organisieren,checkliste,low,64,de,DE,curated v2 #69
schule,schule_sub_10,klassenarbeit vorbereitung für schüler,schueler,gezielt für arbeiten lernen,arbeitsbuch,low,72,de,DE,curated v2 #70
karriere,karriere_sub_1,lebenslauf vorlage für berufseinsteiger,berufseinsteiger,perfekten lebenslauf erstellen,vorlagenbuch,low,84,de,DE,curated v2 #71
karriere,karriere_sub_2,vorstellungsgespräch vorbereitung für berufseinsteiger,berufseinsteiger,sicher im gespräch überzeugen,workbook,low,82,de,DE,curated v2 #72
karriere,karriere_sub_3,bewerbungsschreiben vorlagen für fachkräfte,fachkraefte,anschreiben die überzeugen,vorlagenbuch,low,80,de,DE,curated v2 #73
karriere,karriere_sub_4,gehaltsverhandlung training für berufstätige,berufstaetige,selbstbewusst verhandeln,arbeitsbuch,low,78,de,DE,curated v2 #74
karriere,karriere_sub_5,linkedin profil optimierung für berufstätige,berufstaetige,online sichtbar werden,arbeitsbuch,low,76,de,DE,curated v2 #75
karriere,karriere_sub_6,jobwechsel planer für berufstätige,berufstaetige,beruflichen wechsel planen,planer,low,74,de,DE,curated v2 #76
karriere,karriere_sub_7,homeoffice einrichtung checkliste für berufstätige,berufstaetige,produktives homeoffice gestalten,checkliste,low,72,de,DE,curated v2 #77
karriere,karriere_sub_8,netzwerken lernen für berufseinsteiger,berufseinsteiger,kontakte strategisch aufbauen,arbeitsbuch,low,70,de,DE,curated v2 #78
karriere,karriere_sub_9,arbeitszeugnis prüfen für arbeitnehmer,berufstaetige,zeugnis korrekt bewerten,checkliste,low,68,de,DE,curated v2 #79
karriere,karriere_sub_10,seitenwechsel in die selbstständigkeit,selbststaendige,schritt für schritt selbstständig,ratgeber,medium,76,de,DE,curated v2 #80
senioren,senioren_sub_1,smartphone ratgeber für senioren,senioren,grundfunktionen sicher verstehen,ratgeber,low,86,de,DE,curated v2 #81
senioren,senioren_sub_2,tablet einrichtung für senioren,senioren,erste schritte mit dem tablet,ratgeber,low,82,de,DE,curated v2 #82
senioren,senioren_sub_3,online banking für senioren,senioren,sicher online überweisungen tätigen,ratgeber,medium,80,de,DE,curated v2 #83
senioren,senioren_sub_4,videotelefonie lernen für senioren,senioren,mit enkeln in kontakt bleiben,ratgeber,low,76,de,DE,curated v2 #84
senioren,senioren_sub_5,fitness zuhause für senioren,senioren,beweglich bleiben im alter,arbeitsbuch,low,74,de,DE,curated v2 #85
senioren,senioren_sub_6,ernährungsplan für senioren,senioren,gesund essen im alter,planer,low,72,de,DE,curated v2 #86
senioren,senioren_sub_7,gedächtnistraining für senioren,senioren,geistig fit bleiben,arbeitsbuch,low,70,de,DE,curated v2 #87
senioren,senioren_sub_8,seniorengerechtes wohnen checkliste,senioren,wohnung altersgerecht umbauen,checkliste,low,68,de,DE,curated v2 #88
senioren,senioren_sub_9,rentenantrag checkliste für rentner,rentner,rente richtig beantragen,checkliste,medium,78,de,DE,curated v2 #89
senioren,senioren_sub_10,vollmacht und patientenverfügung für senioren,senioren,für den ernstfall vorsorgen,ratgeber,high,84,de,DE,curated v2 #90
kochen,kochen_sub_1,meal prep planer für berufstätige,berufstaetige,essen für die woche vorkochen,planer,low,80,de,DE,curated v2 #91
kochen,kochen_sub_2,schnelle gerichte kochbuch für familien,familien,in 30 minuten auf dem tisch,kochbuch,low,78,de,DE,curated v2 #92
kochen,kochen_sub_3,backen für anfänger,anfaenger,grundrezepte einfach erklärt,kochbuch,low,76,de,DE,curated v2 #93
kochen,kochen_sub_4,zuckerfrei kochbuch für einsteiger,einsteiger,zucker im alltag reduzieren,kochbuch,low,74,de,DE,curated v2 #94
kochen,kochen_sub_5,vegetarisch kochen für familien,familien,fleischlos und lecker,kochbuch,low,72,de,DE,curated v2 #95
kochen,kochen_sub_6,einkaufsplaner für wochenmärkte,familien,saisonal und regional einkaufen,planer,low,66,de,DE,curated v2 #96
kochen,kochen_sub_7,vorratshaltung checkliste für haushalte,erwachsene,vorräte richtig lagern,checkliste,low,64,de,DE,curated v2 #97
kochen,kochen_sub_8,kräuter anbauen für die küche,anfaenger,frische kräuter selbst ziehen,ratgeber,low,62,de,DE,curated v2 #98
kochen,kochen_sub_9,grillrezepte für anfänger,anfaenger,perfekt grillen lernen,kochbuch,low,70,de,DE,curated v2 #99
kochen,kochen_sub_10,brotdosen ideen für kinder,eltern,gesunde pausenbrote kreativ gestalten,kochbuch,low,68,de,DE,curated v2 #100
adhs,adhs_sub_1,adhs alltag strukturieren für erwachsene,erwachsene,routinen und ordnung schaffen,arbeitsbuch,medium,84,de,DE,curated v2 #101
adhs,adhs_sub_2,adhs ernährung kochbuch,erwachsene,ernährung bei adhs optimieren,kochbuch,low,76,de,DE,curated v2 #102
adhs,adhs_sub_3,adhs studium planer für studenten,studenten,mit adhs erfolgreich studieren,planer,medium,80,de,DE,curated v2 #103
adhs,adhs_sub_4,adhs haushalt organisieren für erwachsene,erwachsene,haushalt trotz adhs im griff,arbeitsbuch,low,74,de,DE,curated v2 #104
adhs,adhs_sub_5,adhs berufsalltag für berufstätige,berufstaetige,produktiv trotz adhs,arbeitsbuch,medium,78,de,DE,curated v2 #105
adhs,adhs_sub_6,adhs kind unterstützen für eltern,eltern,kind mit adhs besser verstehen,ratgeber,medium,82,de,DE,curated v2 #106
adhs,adhs_sub_7,adhs medikamenten tagebuch,erwachsene,wirkung dokumentieren,tagebuch,medium,72,de,DE,curated v2 #107
adhs,adhs_sub_8,adhs schlaf verbessern für erwachsene,erwachsene,besser schlafen mit adhs,arbeitsbuch,low,70,de,DE,curated v2 #108
adhs,adhs_sub_9,adhs beziehungen pflegen für erwachsene,erwachsene,beziehungen trotz adhs stärken,ratgeber,low,68,de,DE,curated v2 #109
adhs,adhs_sub_10,adhs zeitblindheit überwinden,erwachsene,zeitgefühl verbessern,arbeitsbuch,low,72,de,DE,curated v2 #110
fitness_sport,fitness_sport_sub_1,fitness tagebuch für anfänger,anfaenger,fortschritte dokumentieren,tagebuch,low,78,de,DE,curated v2 #111
fitness_sport,fitness_sport_sub_2,yoga für anfänger arbeitsbuch,anfaenger,grundhaltungen sicher lernen,arbeitsbuch,low,76,de,DE,curated v2 #112
fitness_sport,fitness_sport_sub_3,laufplan für anfänger,anfaenger,von 0 auf 5 kilometer,trainingsjournal,low,74,de,DE,curated v2 #113
fitness_sport,fitness_sport_sub_4,krafttraining plan für einsteiger,einsteiger,muskelaufbau systematisch,trainingsjournal,low,72,de,DE,curated v2 #114
fitness_sport,fitness_sport_sub_5,dehnübungen für büroberufe,berufstaetige,rückenschmerzen vorbeugen,arbeitsbuch,low,70,de,DE,curated v2 #115
fitness_sport,fitness_sport_sub_6,ernährungstagebuch für sportler,erwachsene,makros und kalorien tracken,tagebuch,low,68,de,DE,curated v2 #116
fitness_sport,fitness_sport_sub_7,heimtraining ohne geräte für anfänger,anfaenger,fitness zuhause aufbauen,arbeitsbuch,low,66,de,DE,curated v2 #117
fitness_sport,fitness_sport_sub_8,marathon trainingsplan für fortgeschrittene,fortgeschrittene,auf den marathon vorbereiten,trainingsjournal,low,64,de,DE,curated v2 #118
fitness_sport,fitness_sport_sub_9,schwimmtechnik verbessern für anfänger,anfaenger,effizienter schwimmen lernen,arbeitsbuch,low,62,de,DE,curated v2 #119
fitness_sport,fitness_sport_sub_10,rückenschule arbeitsbuch für büro,berufstaetige,rücken gesund halten,arbeitsbuch,low,68,de,DE,curated v2 #120
reise_umzug,reise_umzug_sub_1,umzugscheckliste für familien,familien,umzug ohne chaos planen,checkliste,low,82,de,DE,curated v2 #121
reise_umzug,reise_umzug_sub_2,umzugsfirmen vergleich checkliste,erwachsene,beste umzugsfirma finden,checkliste,low,76,de,DE,curated v2 #122
reise_umzug,reise_umzug_sub_3,karton beschriftung system für umzüge,erwachsene,kartons richtig beschriften,arbeitsbuch,low,70,de,DE,curated v2 #123
reise_umzug,reise_umzug_sub_4,wohnungsübergabe protokoll für mieter,erwachsene,mängel korrekt dokumentieren,checkliste,low,72,de,DE,curated v2 #124
reise_umzug,reise_umzug_sub_5,nachsendeauftrag checkliste für umziehende,erwachsene,nichts vergessen nach dem umzug,checkliste,low,68,de,DE,curated v2 #125
reise_umzug,reise_umzug_sub_6,urlaubsplaner für familien,familien,reise organisieren und planen,planer,low,74,de,DE,curated v2 #126
reise_umzug,reise_umzug_sub_7,packliste urlaub für familien,familien,nichts vergessen beim packen,checkliste,low,66,de,DE,curated v2 #127
reise_umzug,reise_umzug_sub_8,wohnmobil reise tagebuch,erwachsene,vanlife erlebnisse dokumentieren,tagebuch,low,64,de,DE,curated v2 #128
reise_umzug,reise_umzug_sub_9,auslandsumzug checkliste für expats,erwachsene,ins ausland umziehen,checkliste,medium,72,de,DE,curated v2 #129
reise_umzug,reise_umzug_sub_10,möbel abbau anleitung für umzüge,erwachsene,möbel richtig zerlegen,ratgeber,low,60,de,DE,curated v2 #130
garten,garten_sub_1,gemüsegarten planer für anfänger,anfaenger,eigenes gemüse anbauen,planer,low,78,de,DE,curated v2 #131
garten,garten_sub_2,hochbeet bauanleitung für einsteiger,einsteiger,hochbeet selbst bauen,ratgeber,low,74,de,DE,curated v2 #132
garten,garten_sub_3,rasenpflege kalender für hausbesitzer,erwachsene,perfekter rasen das ganze jahr,planer,low,70,de,DE,curated v2 #133
garten,garten_sub_4,balkongarten für anfänger,anfaenger,auf kleinem raum gärtnern,ratgeber,low,72,de,DE,curated v2 #134
garten,garten_sub_5,kompost anlegen für einsteiger,einsteiger,eigenen kompost herstellen,ratgeber,low,66,de,DE,curated v2 #135
garten,garten_sub_6,pflanzplan für schnittblumen,erwachsene,blumen für die vase anbauen,planer,low,64,de,DE,curated v2 #136
garten,garten_sub_7,schädlingsbekämpfung natürlich,erwachsene,ohne chemie gegen schädlinge,ratgeber,low,68,de,DE,curated v2 #137
garten,garten_sub_8,gartengeräte pflege checkliste,erwachsene,werkzeuge richtig warten,checkliste,low,62,de,DE,curated v2 #138
garten,garten_sub_9,kräuterspirale bauen anleitung,erwachsene,kräuterspirale selbst bauen,ratgeber,low,60,de,DE,curated v2 #139
garten,garten_sub_10,gartenbewässerung planen für trockene sommer,erwachsene,bewässerungssystem planen,planer,low,66,de,DE,curated v2 #140
steuern,steuern_sub_2,umsatzsteuer voranmeldung für selbstständige,selbststaendige,ustva richtig abgeben,arbeitsbuch,medium,78,de,DE,curated v2 #141
steuern,steuern_sub_3,steuerklassen wechsel checkliste für ehepaare,familien,beste steuerklasse wählen,checkliste,low,74,de,DE,curated v2 #142
steuern,steuern_sub_4,freibeträge checkliste für arbeitnehmer,berufstaetige,alle freibeträge nutzen,checkliste,low,72,de,DE,curated v2 #143
steuern,steuern_sub_5,elster einrichtung für anfänger,anfaenger,elster online nutzen,ratgeber,low,70,de,DE,curated v2 #144
steuern,steuern_sub_6,fahrtenbuch vorlage für selbstständige,selbststaendige,dienstfahrten korrekt dokumentieren,vorlagenbuch,low,68,de,DE,curated v2 #145
steuern,steuern_sub_7,arbeitszimmer absetzen für homeoffice,berufstaetige,homeoffice steuerlich geltend machen,checkliste,low,76,de,DE,curated v2 #146
steuern,steuern_sub_8,spendenquittung organiser für spenden,erwachsene,spenden steuerlich absetzen,planer,low,64,de,DE,curated v2 #147
steuern,steuern_sub_9,kindergeld checkliste für eltern,eltern,kindergeld richtig beantragen,checkliste,low,70,de,DE,curated v2 #148
steuern,steuern_sub_10,steuerberater wechsel checkliste,selbststaendige,den richtigen steuerberater finden,checkliste,low,66,de,DE,curated v2 #149
ecommerce,ecommerce_sub_1,amazon fba einstieg für anfänger,anfaenger,produkte über amazon verkaufen,ratgeber,medium,80,de,DE,curated v2 #150
ecommerce,ecommerce_sub_2,ebay kleinanzeigen verkaufstipps,erwachsene,erfolgreich auf ebay verkaufen,ratgeber,low,72,de,DE,curated v2 #151
ecommerce,ecommerce_sub_3,etsy shop eröffnen für kreative,kleinunternehmer,handmade produkte verkaufen,checkliste,low,76,de,DE,curated v2 #152
ecommerce,ecommerce_sub_4,dropshipping einstieg für anfänger,anfaenger,ohne lager verkaufen,ratgeber,medium,74,de,DE,curated v2 #153
ecommerce,ecommerce_sub_5,produktfotografie für online shops,kleinunternehmer,produkte richtig fotografieren,ratgeber,low,70,de,DE,curated v2 #154
ecommerce,ecommerce_sub_6,verpackung und versand optimieren,kleinunternehmer,versandkosten senken,checkliste,low,66,de,DE,curated v2 #155
ecommerce,ecommerce_sub_7,retouren management für online händler,kleinunternehmer,retouren effizient bearbeiten,arbeitsbuch,low,64,de,DE,curated v2 #156
ecommerce,ecommerce_sub_8,shopify themes auswahl guide,kleinunternehmer,perfektes design wählen,ratgeber,low,68,de,DE,curated v2 #157
ecommerce,ecommerce_sub_9,google shopping feed optimierung,kleinunternehmer,produkte bei google listen,arbeitsbuch,low,72,de,DE,curated v2 #158
ecommerce,ecommerce_sub_10,kundenbewertungen sammeln strategie,kleinunternehmer,mehr positive bewertungen,arbeitsbuch,low,70,de,DE,curated v2 #159
smart_home,smart_home_sub_1,alexa einrichtung für senioren,senioren,sprachassistent einfach nutzen,ratgeber,low,78,de,DE,curated v2 #160
smart_home,smart_home_sub_2,smart home einstieg für anfänger,anfaenger,erste smart home geräte,ratgeber,low,74,de,DE,curated v2 #161
smart_home,smart_home_sub_3,smarte heizungssteuerung einrichten,erwachsene,heizkosten sparen,ratgeber,low,72,de,DE,curated v2 #162
smart_home,smart_home_sub_4,wlan optimierung für zuhause,erwachsene,besseres internet in jedem raum,ratgeber,low,70,de,DE,curated v2 #163
smart_home,smart_home_sub_5,sicherheitskameras einrichten für hausbesitzer,erwachsene,haus smarter überwachen,ratgeber,low,68,de,DE,curated v2 #164
smart_home,smart_home_sub_6,philips hue licht einrichtung,erwachsene,smarte beleuchtung planen,ratgeber,low,66,de,DE,curated v2 #165
smart_home,smart_home_sub_7,saugroboter vergleich und einrichtung,erwachsene,richtigen saugroboter wählen,ratgeber,low,64,de,DE,curated v2 #166
smart_home,smart_home_sub_8,smart home mit home assistant,fortgeschrittene,eigene smart home zentrale,arbeitsbuch,medium,72,de,DE,curated v2 #167
smart_home,smart_home_sub_9,stromverbrauch messen mit smart steckdosen,erwachsene,stromfresser identifizieren,ratgeber,low,70,de,DE,curated v2 #168
smart_home,smart_home_sub_10,gartengeräte smart steuern,erwachsene,bewässerung automatisieren,ratgeber,low,66,de,DE,curated v2 #169
demenz,demenz_sub_1,demenz alltag planer für angehörige,pflegende_angehoerige,alltag mit demenz strukturieren,planer,medium,84,de,DE,curated v2 #170
demenz,demenz_sub_2,demenz beschäftigung ideen für senioren,pflegende_angehoerige,sinnvolle beschäftigung finden,arbeitsbuch,low,76,de,DE,curated v2 #171
demenz,demenz_sub_3,demenz ernährung ratgeber für angehörige,pflegende_angehoerige,richtig ernähren bei demenz,ratgeber,low,72,de,DE,curated v2 #172
demenz,demenz_sub_4,demenz tagesablauf planer,pflegende_angehoerige,geregelten tagesablauf schaffen,planer,low,70,de,DE,curated v2 #173
demenz,demenz_sub_5,erinnerungsalbum für demenzkranke,pflegende_angehoerige,erinnerungen wachhalten,arbeitsbuch,low,68,de,DE,curated v2 #174
demenz,demenz_sub_6,demenz wohngestaltung checkliste,pflegende_angehoerige,wohnung demenzgerecht einrichten,checkliste,low,74,de,DE,curated v2 #175
demenz,demenz_sub_7,kommunikation mit demenzkranken,pflegende_angehoerige,besser kommunizieren lernen,ratgeber,low,70,de,DE,curated v2 #176
demenz,demenz_sub_8,pflegetagebuch für demenz,pflegende_angehoerige,verlauf und maßnahmen dokumentieren,tagebuch,medium,72,de,DE,curated v2 #177
demenz,demenz_sub_9,demenz und rechtliche vorsorge,pflegende_angehoerige,vollmachten und verfügungen,ratgeber,high,80,de,DE,curated v2 #178
demenz,demenz_sub_10,selbstfürsorge für pflegende angehörige,pflegende_angehoerige,auf sich selbst achten,arbeitsbuch,medium,76,de,DE,curated v2 #179
lernen,lernen_sub_1,vokabeltrainer englisch für anfänger,anfaenger,englisch vokabeln effizient lernen,arbeitsbuch,low,76,de,DE,curated v2 #180
lernen,lernen_sub_2,lernplaner für abiturienten,schueler,abi-vorbereitung strukturieren,lernplaner,low,74,de,DE,curated v2 #181
lernen,lernen_sub_3,speed reading training für studenten,studenten,schneller lesen und verstehen,arbeitsbuch,low,70,de,DE,curated v2 #182
lernen,lernen_sub_4,gedächtnistechniken für berufstätige,berufstaetige,sich mehr merken können,arbeitsbuch,low,68,de,DE,curated v2 #183
lernen,lernen_sub_5,sprachlernplan für auswanderer,erwachsene,neue sprache systematisch lernen,planer,low,72,de,DE,curated v2 #184
lernen,lernen_sub_6,notiztechnik für meetings,berufstaetige,bessere notizen im beruf,arbeitsbuch,low,64,de,DE,curated v2 #185
lernen,lernen_sub_7,prüfungsangst überwinden für studenten,studenten,ruhig in die prüfung gehen,arbeitsbuch,low,70,de,DE,curated v2 #186
lernen,lernen_sub_8,mnemotechniken für schüler,schueler,mit eselsbrücken besser lernen,arbeitsbuch,low,66,de,DE,curated v2 #187
lernen,lernen_sub_9,online kurs selbstdisziplin arbeitsbuch,erwachsene,online kurse erfolgreich abschließen,arbeitsbuch,low,68,de,DE,curated v2 #188
lernen,lernen_sub_10,lerntyp test und strategien für erwachsene,erwachsene,eigenen lerntyp finden,arbeitsbuch,low,64,de,DE,curated v2 #189
gesundheit,gesundheit_v2_sub_1,Gesundheit arbeitsbuch für Anfaenger,anfaenger,schritt für schritt erklärt,arbeitsbuch,low,50,de,DE,auto v2 #190
gesundheit,gesundheit_v2_sub_1,Gesundheit ratgeber für Einsteiger,einsteiger,praktisch umsetzen,ratgeber,low,51,de,DE,auto v2 #191
gesundheit,gesundheit_v2_sub_1,Gesundheit checkliste für Erwachsene,erwachsene,einfach und verständlich,checkliste,low,52,de,DE,auto v2 #192
gesundheit,gesundheit_v2_sub_1,Gesundheit planer für Familien,familien,mit übungen und checklisten,planer,low,53,de,DE,auto v2 #193
